Model,Mean,Lower Bound (95%),Upper Bound (95%)
AdaBoost,-17.97684015154169,-18.437201626117663,-17.51647867696572
CatBoost,-14.374910518972332,-14.396812257300306,-14.353008780644357
ExtraTrees,-13.79493153224082,-13.796967832880865,-13.792895231600776
GBT,-14.473391903160772,-14.495308234356434,-14.45147557196511
KNN,-15.22015646412826,-15.256563769658689,-15.183749158597832
Lasso,-14.430574086876325,-14.459695405716046,-14.401452768036604
LinearRegression,-14.157711261259863,-14.164541715815862,-14.150880806703864
NeuralNetwork,-16.398692891125034,-16.427594396492083,-16.369791385757985
RandomForest,-13.851359887653874,-13.854232318991883,-13.848487456315866
Ridge,-14.14665278048461,-14.149157967797171,-14.144147593172049
SVR,-14.533487719851435,-14.555530074388155,-14.511445365314714
XGBoost,-14.363824066070404,-14.398495871824826,-14.32915226031598
